"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000127364","HAVANA","gene",NA,NA,"ENSG00000127364","protein_coding","TAS2R4","2","HGNC:14911","OTTHUMG00000157634.1"
"ENSG00000127366","HAVANA","gene",NA,NA,"ENSG00000127366","protein_coding","TAS2R5","2","HGNC:14912","OTTHUMG00000157632.1"
"ENSG00000127377","HAVANA","gene",NA,NA,"ENSG00000127377","protein_coding","CRYGN","2","HGNC:20458","OTTHUMG00000157353.3"
"ENSG00000127399","HAVANA","gene",NA,NA,"ENSG00000127399","protein_coding","LRRC61","2","HGNC:21704","OTTHUMG00000158326.2"
"ENSG00000127412","HAVANA","gene",NA,NA,"ENSG00000127412","protein_coding","TRPV5","2","HGNC:3145","OTTHUMG00000157157.5"
"ENSG00000127415","HAVANA","gene",NA,NA,"ENSG00000127415","protein_coding","IDUA","1","HGNC:5391","OTTHUMG00000088901.6"
"ENSG00000127418","HAVANA","gene",NA,NA,"ENSG00000127418","protein_coding","FGFRL1","2","HGNC:3693","OTTHUMG00000118998.4"
"ENSG00000127419","HAVANA","gene",NA,NA,"ENSG00000127419","protein_coding","TMEM175","1","HGNC:28709","OTTHUMG00000118996.6"
"ENSG00000127423","HAVANA","gene",NA,NA,"ENSG00000127423","protein_coding","AUNIP","2","HGNC:28363","OTTHUMG00000007372.2"
"ENSG00000127445","HAVANA","gene",NA,NA,"ENSG00000127445","protein_coding","PIN1","2","HGNC:8988","OTTHUMG00000180388.1"
"ENSG00000127452","HAVANA","gene",NA,NA,"ENSG00000127452","protein_coding","FBXL12","1","HGNC:13611","OTTHUMG00000180212.3"
"ENSG00000127463","HAVANA","gene",NA,NA,"ENSG00000127463","protein_coding","EMC1","1","HGNC:28957","OTTHUMG00000002497.6"
